,type,attrib,regular,precision,recall,results,identified,goldstandard
0,emb_is,global,False,0.5531914893617021,0.6046511627906976,"{'good': 26, 'regular': 5, 'bad': 10}",47,43
1,emb_is,from,False,0.5,0.5,"{'good': 6, 'regular': 4, 'bad': 2}",12,12
2,emb_is,to,False,0.5833333333333334,0.5833333333333334,"{'good': 7, 'regular': 1, 'bad': 4}",12,12
3,emb_is,when,False,0.8333333333333334,0.625,"{'good': 5, 'regular': 0, 'bad': 3}",6,8
4,emb_is,condition,False,0.0,,"{'good': 0, 'regular': 0, 'bad': 0}",6,0
5,emb_is,filter,False,0.0,0.0,"{'good': 0, 'regular': 0, 'bad': 0}",1,1
6,emb_is,aggregation,False,0.8,0.8,"{'good': 8, 'regular': 0, 'bad': 1}",10,10
7,emb_is,data,False,,,"{'good': 0, 'regular': 0, 'bad': 0}",0,0
8,emb_is,global,True,0.6595744680851063,0.7209302325581395,"{'good': 26, 'regular': 5, 'bad': 10}",47,43
9,emb_is,from,True,0.8333333333333334,0.8333333333333334,"{'good': 6, 'regular': 4, 'bad': 2}",12,12
10,emb_is,to,True,0.6666666666666666,0.6666666666666666,"{'good': 7, 'regular': 1, 'bad': 4}",12,12
11,emb_is,when,True,0.8333333333333334,0.625,"{'good': 5, 'regular': 0, 'bad': 3}",6,8
12,emb_is,condition,True,0.0,,"{'good': 0, 'regular': 0, 'bad': 0}",6,0
13,emb_is,filter,True,0.0,0.0,"{'good': 0, 'regular': 0, 'bad': 0}",1,1
14,emb_is,aggregation,True,0.8,0.8,"{'good': 8, 'regular': 0, 'bad': 1}",10,10
15,emb_is,data,True,,,"{'good': 0, 'regular': 0, 'bad': 0}",0,0
